F1,F2,F3,F4,F5,ID,X,Y,Class
-84.764549,31.192099,6.1,7.7,58.115,312,713005.927273,3453044.37919,0
-84.764556,31.192117,6.3,8.2,58.137,313,713005.239506,3453046.32845,0
-84.764561,31.192134,6.5,7.5,58.137,314,713004.684721,3453048.30258,0
-84.764567,31.192152,7.3,7.5,58.11,315,713004.063445,3453050.26427,0
-84.764573,31.19217,5.7,7.8,58.112,316,713003.451701,3453052.22616,0
-84.76458,31.192187,5.9,7.2,58.106,317,713002.74532,3453054.15286,0
-84.764586,31.192206,7.3,8.2,58.099,318,713002.180558,3453056.14897,0
-84.764593,31.192223,6.2,6.8,58.101,319,713001.512077,3453058.08752,0
-84.764598,31.192241,5.9,6.9,58.103,320,713000.910088,3453060.03852,0
-84.764605,31.192259,7.5,8.5,58.118,321,713000.288589,3453062.0113,0
-84.764611,31.192276,7.3,10.6,58.076,322,712999.610802,3453063.93857,0
-84.764617,31.192294,7.3,9.2,58.084,323,712998.979549,3453065.92225,0
-84.764624,31.192312,6.7,7.7,58.051,324,712998.320376,3453067.87208,0
-84.76463,31.19233,6.6,9.0,58.057,325,712997.708857,3453069.82288,0
-84.764636,31.192347,6.4,9.9,58.021,326,712997.116624,3453071.76298,0
-84.764642,31.192365,7.3,9.4,58.004,327,712996.513964,3453073.74723,0
-84.764648,31.192383,6.8,9.6,58.004,328,712995.873405,3453075.71963,0
-84.764664,31.192417,4.6,3.2,57.982,329,712994.263418,3453079.42485,0
-84.764833,31.192401,4.0,5.5,57.923,330,712978.219748,3453077.38137,0
-84.764832,31.192384,3.8,5.7,57.939,331,712978.305277,3453075.50867,0
-84.764825,31.192368,3.7,5.9,57.963,332,712978.990797,3453073.67028,0
-84.764817,31.192351,4.2,6.8,57.962,333,712979.867157,3453071.82465,0
-84.764809,31.192334,5.1,7.8,57.962,334,712980.676578,3453069.98876,0
-84.764801,31.192317,4.6,8.4,57.972,335,712981.44922,3453068.08559,0
-84.764792,31.192298,5.2,8.9,57.98,336,712982.358656,3453066.0188,0
-84.764784,31.192278,4.8,8.5,58.001,337,712983.175697,3453063.80597,0
-84.764775,31.192255,5.1,9.8,58.031,338,712984.05732,3453061.22842,0
-84.764766,31.192231,4.8,8.4,58.055,339,712984.940063,3453058.59544,0
-84.764758,31.192207,5.3,9.7,58.075,340,712985.78558,3453055.91735,0
-84.764749,31.192182,6.4,9.8,58.108,341,712986.640404,3453053.25053,0
-84.764741,31.192158,6.1,9.1,58.135,342,712987.53268,3453050.61774,0
-84.764732,31.192134,6.1,9.8,58.131,343,712988.36934,3453047.90619,0
-84.764724,31.19211,5.4,9.3,58.166,344,712989.243226,3453045.23976,0
-84.764717,31.192085,6.7,9.6,58.174,345,712990.004537,3453042.48233,0
-84.76471,31.192064,6.4,9.0,58.096,346,712990.632086,3453040.2102,0
-84.764705,31.192049,6.0,7.9,58.011,347,712991.141573,3453038.59008,0
-84.764703,31.192042,5.5,8.3,57.97,348,712991.386449,3453037.79645,0
-84.764701,31.192037,5.3,8.7,58.004,349,712991.550373,3453037.23411,0
